L519.2	138.5	100.4	167.1	77.9
L520.1	164.9	108.2	102.4	88.1
L520.2	146.6	107	174.8	80.4
L521.1	163.8	109.8	97.5	88.2
L521.2	151.4	107	176.2	79.6
L522	160.3	102.2	94.4	89
L523.1	101.5	103.7	159.2	76.6
L523.2	168.6	105.4	142.2	89.2
L524	151.2	103.6	100.8	83.3
L525	154.6	100.1	96.3	84.7
L526.2	144.8	102.3	156.5	83.9
L526.3	161.1	108.8	100.8	89.5
L526.4	152.7	106.2	176.5	79.1
L527.1	139.2	101.2	168.5	78.4
L527.2	154.4	102.3	98	82.6
L528	152.9	102.6	98.8	83.3
L529.1	164.3	108.6	99.7	86.9
L529.2	145.9	108.4	176.1	79.3
L530.1	141	111.5	176.3	80
L530.2	159.4	106.2	151.3	83.3
L531	150.8	100.9	142.5	84.2
L532.1	158.5	105.9	98.3	88.7
L532.2	141.4	106.2	178.7	82.2
L533.1	163.7	111.2	101.6	85.6
L533.2	142.9	108.2	180.9	80.1
L534	96.3	100.5	166	77
L535	96.9	101.9	172.7	77.9
L536.1	139	101.8	165.8	76.9
L536.2	153.7	103	98.1	81.5
L537.1	135.8	98.8	165.2	77.8
L537.2	152	98.3	96.9	84.9
L538	96.8	103.9	169.4	77.1
L539	150.5	99.2	98.5	81.2
L540	144.9	95.5	81.4	78.1
